91523,Adele,"United Kingdom",2008-01-17,2016-02-20
billboard-us,6,2012-04-07,ms038634,"Set Fire To The Rain"
billboard-us,12,2012-04-14,ms038634,"Set Fire To The Rain"
billboard-us,15,2012-04-21,ms038634,"Set Fire To The Rain"
billboard-us,17,2012-04-28,ms038634,"Set Fire To The Rain"
billboard-us,18,2012-05-05,ms038634,"Set Fire To The Rain"
billboard-us,22,2012-05-12,ms038634,"Set Fire To The Rain"
billboard-us,21,2012-05-19,ms038634,"Set Fire To The Rain"
billboard-us,29,2012-05-26,ms038634,"Set Fire To The Rain"
billboard-us,35,2012-06-02,ms038634,"Set Fire To The Rain"
billboard-us,38,2012-06-09,ms038634,"Set Fire To The Rain"
billboard-us,35,2012-06-16,ms038634,"Set Fire To The Rain"
billboard-us,43,2012-06-23,ms038634,"Set Fire To The Rain"
billboard-us,43,2012-06-30,ms038634,"Set Fire To The Rain"
billboard-us,49,2012-07-07,ms038634,"Set Fire To The Rain"
billboard-us,63,2011-05-07,ms043758,"Turning Tables"
billboard-us,85,2011-05-14,ms043758,"Turning Tables"
billboard-us,96,2011-05-28,ms043758,"Turning Tables"
billboard-us,82,2008-11-08,ms048173,"Chasing Pavements"
billboard-us,100,2008-12-20,ms048173,"Chasing Pavements"
billboard-us,96,2008-12-27,ms048173,"Chasing Pavements"
billboard-us,94,2009-01-10,ms048173,"Chasing Pavements"
billboard-us,64,2009-02-21,ms048173,"Chasing Pavements"
billboard-us,21,2009-02-28,ms048173,"Chasing Pavements"
billboard-us,72,2009-03-07,ms048173,"Chasing Pavements"
billboard-us,96,2011-08-13,ms052476,"Rumour Has It"
billboard-us,99,2011-08-20,ms052476,"Rumour Has It"
billboard-us,99,2011-08-27,ms052476,"Rumour Has It"
billboard-us,60,2011-12-03,ms052476,"Rumour Has It"
billboard-us,82,2011-12-10,ms052476,"Rumour Has It"
billboard-us,87,2011-12-17,ms052476,"Rumour Has It"
billboard-us,78,2012-01-07,ms052476,"Rumour Has It"
billboard-us,75,2012-01-14,ms052476,"Rumour Has It"
billboard-us,95,2012-01-21,ms052476,"Rumour Has It"
billboard-us,67,2012-03-03,ms052476,"Rumour Has It"
billboard-us,51,2012-03-10,ms052476,"Rumour Has It"
billboard-us,39,2012-03-17,ms052476,"Rumour Has It"
billboard-us,57,2012-03-24,ms052476,"Rumour Has It"
billboard-us,50,2012-03-31,ms052476,"Rumour Has It"
billboard-us,44,2012-04-07,ms052476,"Rumour Has It"
billboard-us,35,2012-04-14,ms052476,"Rumour Has It"
billboard-us,23,2012-04-21,ms052476,"Rumour Has It"
billboard-us,20,2012-04-28,ms052476,"Rumour Has It"
billboard-us,16,2012-05-05,ms052476,"Rumour Has It"
billboard-us,16,2012-05-12,ms052476,"Rumour Has It"
billboard-us,16,2012-05-19,ms052476,"Rumour Has It"
billboard-us,16,2012-05-26,ms052476,"Rumour Has It"
billboard-us,21,2012-06-02,ms052476,"Rumour Has It"
billboard-us,26,2012-06-09,ms052476,"Rumour Has It"
billboard-us,30,2012-06-16,ms052476,"Rumour Has It"
billboard-us,33,2012-06-23,ms052476,"Rumour Has It"
billboard-us,38,2012-06-30,ms052476,"Rumour Has It"
billboard-us,8,2012-10-20,ms064102,Skyfall
billboard-us,13,2012-10-27,ms064102,Skyfall
billboard-us,45,2012-11-03,ms064102,Skyfall
billboard-us,52,2012-11-10,ms064102,Skyfall
billboard-us,56,2012-11-17,ms064102,Skyfall
billboard-us,33,2012-11-24,ms064102,Skyfall
billboard-us,21,2012-12-01,ms064102,Skyfall
billboard-us,32,2012-12-08,ms064102,Skyfall
billboard-us,43,2012-12-15,ms064102,Skyfall
billboard-us,61,2012-12-22,ms064102,Skyfall
billboard-us,72,2012-12-29,ms064102,Skyfall
billboard-us,73,2013-01-05,ms064102,Skyfall
billboard-us,62,2013-01-12,ms064102,Skyfall
billboard-us,78,2013-01-19,ms064102,Skyfall
billboard-us,83,2013-01-26,ms064102,Skyfall
billboard-us,84,2013-02-02,ms064102,Skyfall
billboard-us,100,2013-02-09,ms064102,Skyfall
billboard-us,61,2013-03-09,ms064102,Skyfall
billboard-us,33,2013-03-16,ms064102,Skyfall
billboard-us,1,2015-11-14,ms083735,Hello
billboard-us,1,2015-11-21,ms083735,Hello
billboard-us,1,2015-11-28,ms083735,Hello
billboard-us,1,2015-12-05,ms083735,Hello
billboard-us,1,2015-12-12,ms083735,Hello
billboard-us,1,2015-12-19,ms083735,Hello
billboard-us,1,2015-12-26,ms083735,Hello
billboard-us,1,2016-01-02,ms083735,Hello
billboard-us,1,2016-01-09,ms083735,Hello
billboard-us,1,2016-01-16,ms083735,Hello
billboard-us,2,2016-01-23,ms083735,Hello
billboard-us,2,2016-01-30,ms083735,Hello
billboard-us,3,2016-02-06,ms083735,Hello
billboard-us,4,2016-02-13,ms083735,Hello
billboard-us,5,2016-02-20,ms083735,Hello
billboard-us,22,2015-12-12,ms083779,"When We Were Young"
billboard-us,69,2015-12-19,ms083779,"When We Were Young"
billboard-us,78,2015-12-26,ms083779,"When We Were Young"
billboard-us,55,2016-01-02,ms083779,"When We Were Young"
billboard-us,54,2016-01-09,ms083779,"When We Were Young"
billboard-us,47,2016-01-16,ms083779,"When We Were Young"
billboard-us,41,2016-01-23,ms083779,"When We Were Young"
billboard-us,41,2016-01-30,ms083779,"When We Were Young"
billboard-us,35,2016-02-06,ms083779,"When We Were Young"
billboard-us,29,2016-02-13,ms083779,"When We Were Young"
billboard-us,29,2016-02-20,ms083779,"When We Were Young"
billboard-us,70,2015-12-12,ms083780,"Water Under The Bridge"
billboard-us,79,2015-12-12,ms083781,"Send My Love (To Your New Lover)"
billboard-us,87,2015-12-12,ms083782,Remedy
top100-uk,36,2011-01-27,ms038541,"Someone Like You"
top100-uk,33,2011-02-03,ms038541,"Someone Like You"
top100-uk,47,2011-02-10,ms038541,"Someone Like You"
top100-uk,1,2011-02-17,ms038541,"Someone Like You"
top100-uk,1,2011-02-24,ms038541,"Someone Like You"
top100-uk,1,2011-03-03,ms038541,"Someone Like You"
top100-uk,1,2011-03-10,ms038541,"Someone Like You"
top100-uk,2,2011-03-17,ms038541,"Someone Like You"
top100-uk,1,2011-03-24,ms038541,"Someone Like You"
top100-uk,2,2011-03-31,ms038541,"Someone Like You"
top100-uk,3,2011-04-07,ms038541,"Someone Like You"
top100-uk,6,2011-04-14,ms038541,"Someone Like You"
top100-uk,12,2011-04-21,ms038541,"Someone Like You"
top100-uk,12,2011-04-28,ms038541,"Someone Like You"
top100-uk,11,2011-05-05,ms038541,"Someone Like You"
top100-uk,14,2011-05-12,ms038541,"Someone Like You"
top100-uk,17,2011-05-19,ms038541,"Someone Like You"
top100-uk,21,2011-05-26,ms038541,"Someone Like You"
top100-uk,20,2011-06-02,ms038541,"Someone Like You"
top100-uk,24,2011-06-09,ms038541,"Someone Like You"
top100-uk,27,2011-06-16,ms038541,"Someone Like You"
top100-uk,29,2011-06-23,ms038541,"Someone Like You"
top100-uk,34,2011-06-30,ms038541,"Someone Like You"
top100-uk,30,2011-07-07,ms038541,"Someone Like You"
top100-uk,30,2011-07-14,ms038541,"Someone Like You"
top100-uk,28,2011-07-21,ms038541,"Someone Like You"
top100-uk,35,2011-07-28,ms038541,"Someone Like You"
top100-uk,33,2011-08-04,ms038541,"Someone Like You"
top100-uk,35,2011-08-11,ms038541,"Someone Like You"
top100-uk,40,2011-08-18,ms038541,"Someone Like You"
top100-uk,43,2011-08-25,ms038541,"Someone Like You"
top100-uk,27,2011-09-01,ms038541,"Someone Like You"
top100-uk,17,2011-09-08,ms038541,"Someone Like You"
top100-uk,24,2011-09-15,ms038541,"Someone Like You"
top100-uk,32,2011-09-25,ms038541,"Someone Like You"
top100-uk,32,2011-10-02,ms038541,"Someone Like You"
top100-uk,31,2011-10-09,ms038541,"Someone Like You"
top100-uk,33,2011-10-16,ms038541,"Someone Like You"
top100-uk,41,2011-10-23,ms038541,"Someone Like You"
top100-uk,43,2011-10-30,ms038541,"Someone Like You"
top100-uk,45,2011-11-06,ms038541,"Someone Like You"
top100-uk,50,2011-11-13,ms038541,"Someone Like You"
top100-uk,48,2011-11-20,ms038541,"Someone Like You"
top100-uk,56,2011-11-27,ms038541,"Someone Like You"
top100-uk,49,2011-12-04,ms038541,"Someone Like You"
top100-uk,51,2011-12-11,ms038541,"Someone Like You"
top100-uk,50,2011-12-18,ms038541,"Someone Like You"
top100-uk,49,2011-12-25,ms038541,"Someone Like You"
top100-uk,27,2012-01-01,ms038541,"Someone Like You"
top100-uk,28,2012-01-08,ms038541,"Someone Like You"
top100-uk,40,2012-01-15,ms038541,"Someone Like You"
top100-uk,43,2012-01-22,ms038541,"Someone Like You"
top100-uk,53,2012-01-29,ms038541,"Someone Like You"
top100-uk,51,2012-02-05,ms038541,"Someone Like You"
top100-uk,58,2012-02-12,ms038541,"Someone Like You"
top100-uk,41,2012-02-19,ms038541,"Someone Like You"
top100-uk,32,2012-02-26,ms038541,"Someone Like You"
top100-uk,46,2012-03-04,ms038541,"Someone Like You"
top100-uk,57,2012-03-11,ms038541,"Someone Like You"
top100-uk,61,2012-03-18,ms038541,"Someone Like You"
top100-uk,65,2012-03-25,ms038541,"Someone Like You"
top100-uk,76,2012-04-01,ms038541,"Someone Like You"
top100-uk,62,2012-04-08,ms038541,"Someone Like You"
top100-uk,62,2012-04-17,ms038541,"Someone Like You"
top100-uk,75,2012-04-22,ms038541,"Someone Like You"
top100-uk,77,2012-04-29,ms038541,"Someone Like You"
top100-uk,76,2012-05-06,ms038541,"Someone Like You"
top100-uk,91,2012-05-13,ms038541,"Someone Like You"
top100-uk,84,2012-05-20,ms038541,"Someone Like You"
top100-uk,95,2012-05-27,ms038541,"Someone Like You"
top100-uk,97,2012-07-08,ms038541,"Someone Like You"
top100-uk,66,2012-07-22,ms038541,"Someone Like You"
top100-uk,96,2012-07-29,ms038541,"Someone Like You"
top100-uk,90,2012-10-07,ms038541,"Someone Like You"
top100-uk,83,2012-10-14,ms038541,"Someone Like You"
top100-uk,2,2011-01-20,ms038561,"Rolling In The Deep"
top100-uk,3,2011-01-27,ms038561,"Rolling In The Deep"
top100-uk,4,2011-02-03,ms038561,"Rolling In The Deep"
top100-uk,5,2011-02-10,ms038561,"Rolling In The Deep"
top100-uk,4,2011-02-17,ms038561,"Rolling In The Deep"
top100-uk,4,2011-02-24,ms038561,"Rolling In The Deep"
top100-uk,5,2011-03-03,ms038561,"Rolling In The Deep"
top100-uk,9,2011-03-10,ms038561,"Rolling In The Deep"
top100-uk,8,2011-03-17,ms038561,"Rolling In The Deep"
top100-uk,9,2011-03-24,ms038561,"Rolling In The Deep"
top100-uk,15,2011-03-31,ms038561,"Rolling In The Deep"
top100-uk,16,2011-04-07,ms038561,"Rolling In The Deep"
top100-uk,16,2011-04-14,ms038561,"Rolling In The Deep"
top100-uk,22,2011-04-21,ms038561,"Rolling In The Deep"
top100-uk,26,2011-04-28,ms038561,"Rolling In The Deep"
top100-uk,27,2011-05-05,ms038561,"Rolling In The Deep"
top100-uk,33,2011-05-12,ms038561,"Rolling In The Deep"
top100-uk,34,2011-05-19,ms038561,"Rolling In The Deep"
top100-uk,26,2011-05-26,ms038561,"Rolling In The Deep"
top100-uk,31,2011-06-02,ms038561,"Rolling In The Deep"
top100-uk,37,2011-06-09,ms038561,"Rolling In The Deep"
top100-uk,41,2011-06-16,ms038561,"Rolling In The Deep"
top100-uk,44,2011-06-23,ms038561,"Rolling In The Deep"
top100-uk,45,2011-06-30,ms038561,"Rolling In The Deep"
top100-uk,43,2011-07-07,ms038561,"Rolling In The Deep"
top100-uk,47,2011-07-14,ms038561,"Rolling In The Deep"
top100-uk,36,2011-07-21,ms038561,"Rolling In The Deep"
top100-uk,51,2011-07-28,ms038561,"Rolling In The Deep"
top100-uk,44,2011-08-04,ms038561,"Rolling In The Deep"
